day,trade_7d,trade_14d,trade_91d,trade_182d,trade_365d,Proj_traded,Token_traded
2019-05-23,0.022222222222222223,0.03333333333333333,0.07777777777777778,0.14444444444444443,0.18888888888888888,14,90
2019-05-24,0.022222222222222223,0.03333333333333333,0.14444444444444443,0.17777777777777778,0.2111111111111111,11,90
2019-05-25,0.0,0.03333333333333333,0.2,0.3,0.3333333333333333,6,60
2019-05-26,0.03225806451612903,0.043010752688172046,0.15053763440860216,0.1935483870967742,0.21505376344086022,15,91
2019-05-27,0.012987012987012988,0.012987012987012988,0.12987012987012986,0.18181818181818182,0.3246753246753247,11,77
2019-05-28,0.011111111111111112,0.05555555555555555,0.2222222222222222,0.2777777777777778,0.3,5,90
2019-05-29,0.03553299492385787,0.09137055837563451,0.2131979695431472,0.23857868020304568,0.27918781725888325,9,196
2019-05-30,0.026785714285714284,0.044642857142857144,0.10714285714285714,0.16964285714285715,0.20535714285714285,13,112
2019-05-31,0.009708737864077669,0.019417475728155338,0.10679611650485436,0.14563106796116504,0.1941747572815534,14,103
2019-06-01,0.012987012987012988,0.012987012987012988,0.11688311688311688,0.14285714285714285,0.18181818181818182,10,77
2019-06-02,0.0,0.053763440860215055,0.08602150537634409,0.16129032258064516,0.1935483870967742,8,93
2019-06-03,0.02030456852791878,0.06091370558375635,0.1116751269035533,0.12690355329949238,0.17766497461928935,9,197
2019-06-04,0.014563106796116505,0.038834951456310676,0.08737864077669903,0.11165048543689321,0.13106796116504854,13,205
2019-06-05,0.007936507936507936,0.007936507936507936,0.031746031746031744,0.03968253968253968,0.0873015873015873,10,126
2019-06-06,0.0,0.0,0.054878048780487805,0.10975609756097561,0.12804878048780488,15,164
2019-06-07,0.008333333333333333,0.03333333333333333,0.125,0.13333333333333333,0.15,9,120
2019-06-08,0.0,0.009900990099009901,0.0594059405940594,0.09900990099009901,0.1485148514851485,13,101
2019-06-09,0.022988505747126436,0.034482758620689655,0.1839080459770115,0.20689655172413793,0.22988505747126436,14,87
2019-06-10,0.030303030303030304,0.030303030303030304,0.10606060606060606,0.15151515151515152,0.19696969696969696,14,66
2019-06-11,0.01694915254237288,0.025423728813559324,0.09322033898305085,0.13559322033898305,0.2288135593220339,13,118
2019-06-12,0.03546099290780142,0.06382978723404255,0.10638297872340426,0.14893617021276595,0.2127659574468085,13,141
2019-06-13,0.022727272727272728,0.03409090909090909,0.09090909090909091,0.13636363636363635,0.14772727272727273,11,88
2019-06-14,0.007874015748031496,0.023622047244094488,0.07874015748031496,0.11811023622047244,0.16535433070866143,13,127
2019-06-15,0.007751937984496124,0.06201550387596899,0.12403100775193798,0.13953488372093023,0.20930232558139536,14,129
2019-06-16,0.007462686567164179,0.022388059701492536,0.11940298507462686,0.208955223880597,0.26119402985074625,12,134
2019-06-17,0.05952380952380952,0.05952380952380952,0.30952380952380953,0.38095238095238093,0.40476190476190477,15,84
2019-06-18,0.0,0.0,0.10989010989010989,0.1978021978021978,0.23076923076923078,19,91
2019-06-19,0.026455026455026454,0.026455026455026454,0.08994708994708994,0.13756613756613756,0.1693121693121693,17,188
2019-06-20,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1984126984126984,0.4523809523809524,12,125
2019-06-21,0.05194805194805195,0.05844155844155844,0.11038961038961038,0.14285714285714285,0.4025974025974026,18,154
2019-06-22,0.023809523809523808,0.047619047619047616,0.15079365079365079,0.19047619047619047,0.2619047619047619,17,126
2019-06-23,0.040983606557377046,0.06557377049180328,0.1557377049180328,0.1721311475409836,0.21311475409836064,11,121
2019-06-24,0.0,0.04395604395604396,0.0989010989010989,0.15384615384615385,0.17582417582417584,11,91
2019-06-25,0.03773584905660377,0.03773584905660377,0.09433962264150944,0.1320754716981132,0.18867924528301888,9,53
2019-06-26,0.045454545454545456,0.06060606060606061,0.19696969696969696,0.24242424242424243,0.2878787878787879,11,65
2019-06-27,0.024691358024691357,0.04938271604938271,0.19753086419753085,0.2345679012345679,0.30864197530864196,14,81
2019-06-28,0.025210084033613446,0.07563025210084033,0.2184873949579832,0.25210084033613445,0.2773109243697479,14,117
2019-06-29,0.01,0.02,0.11,0.19,0.25,12,100
2019-06-30,0.05405405405405406,0.05405405405405406,0.22972972972972974,0.24324324324324326,0.2702702702702703,8,74
2019-07-01,0.046511627906976744,0.046511627906976744,0.06976744186046512,0.12790697674418605,0.1744186046511628,13,86
2019-07-02,0.08849557522123894,0.13274336283185842,0.23008849557522124,0.25663716814159293,0.336283185840708,10,111
2019-07-03,0.047619047619047616,0.07142857142857142,0.19047619047619047,0.2857142857142857,0.35714285714285715,9,126
2019-07-04,0.05223880597014925,0.08955223880597014,0.1417910447761194,0.1791044776119403,0.20149253731343283,11,133
2019-07-05,0.07766990291262135,0.11650485436893204,0.2621359223300971,0.2912621359223301,0.3300970873786408,11,103
2019-07-06,0.024390243902439025,0.042682926829268296,0.06707317073170732,0.13414634146341464,0.17073170731707318,20,163
2019-07-07,0.02,0.04,0.09,0.14,0.25,13,100
2019-07-08,0.05,0.05,0.13333333333333333,0.2,0.2916666666666667,15,120
2019-07-09,0.034722222222222224,0.04861111111111111,0.18055555555555555,0.22916666666666666,0.2916666666666667,11,141
2019-07-10,0.014925373134328358,0.04477611940298507,0.17164179104477612,0.2462686567164179,0.3283582089552239,10,133
2019-07-11,0.025,0.041666666666666664,0.15,0.19166666666666668,0.26666666666666666,11,120
2019-07-12,0.008928571428571428,0.044642857142857144,0.11607142857142858,0.17857142857142858,0.22321428571428573,11,112
2019-07-13,0.02702702702702703,0.02702702702702703,0.15315315315315314,0.22522522522522523,0.2972972972972973,10,110
2019-07-14,0.07042253521126761,0.09859154929577464,0.22535211267605634,0.28169014084507044,0.30985915492957744,5,70
2019-07-15,0.018867924528301886,0.0660377358490566,0.16037735849056603,0.2358490566037736,0.33962264150943394,7,105
2019-07-16,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.17391304347826086,0.21739130434782608,9,45
2019-07-17,0.04516129032258064,0.05806451612903226,0.1870967741935484,0.25806451612903225,0.3096774193548387,15,154
2019-07-18,0.03488372093023256,0.03488372093023256,0.16279069767441862,0.27906976744186046,0.3488372093023256,16,85
2019-07-19,0.06666666666666667,0.08888888888888889,0.15555555555555556,0.24444444444444444,0.3,8,88
2019-07-20,0.007874015748031496,0.015748031496062992,0.07874015748031496,0.14173228346456693,0.1889763779527559,12,127
2019-07-21,0.02631578947368421,0.06140350877192982,0.13157894736842105,0.17543859649122806,0.21052631578947367,11,114
2019-07-22,0.005649717514124294,0.01694915254237288,0.0903954802259887,0.14689265536723164,0.1751412429378531,13,176
2019-07-23,0.045454545454545456,0.06363636363636363,0.10909090909090909,0.18181818181818182,0.22727272727272727,16,110
2019-07-24,0.008130081300813009,0.024390243902439025,0.12195121951219512,0.21951219512195122,0.2601626016260163,14,123
2019-07-25,0.08641975308641975,0.12345679012345678,0.18518518518518517,0.20987654320987653,0.24691358024691357,12,78
2019-07-26,0.020618556701030927,0.041237113402061855,0.1134020618556701,0.20618556701030927,0.24742268041237114,13,97
2019-07-27,0.01098901098901099,0.04395604395604396,0.17582417582417584,0.21978021978021978,0.25274725274725274,12,91
2019-07-28,0.022727272727272728,0.03409090909090909,0.125,0.20454545454545456,0.22727272727272727,12,87
2019-07-29,0.018018018018018018,0.02702702702702703,0.13513513513513514,0.16216216216216217,0.2072072072072072,18,110
2019-07-30,0.028846153846153848,0.038461538461538464,0.1346153846153846,0.17307692307692307,0.22115384615384615,9,104
2019-07-31,0.03,0.04,0.12,0.21,0.26,11,99
2019-08-01,0.054945054945054944,0.07692307692307693,0.13186813186813187,0.18681318681318682,0.21978021978021978,10,91
2019-08-02,0.05128205128205128,0.08974358974358974,0.16666666666666666,0.23076923076923078,0.2564102564102564,7,78
2019-08-03,0.031746031746031744,0.05555555555555555,0.1349206349206349,0.18253968253968253,0.19047619047619047,9,126
2019-08-04,0.04411764705882353,0.08823529411764706,0.16176470588235295,0.21323529411764705,0.3161764705882353,15,135
2019-08-05,0.020202020202020204,0.04040404040404041,0.1717171717171717,0.24242424242424243,0.29292929292929293,16,99
2019-08-06,0.02586206896551724,0.034482758620689655,0.13793103448275862,0.16379310344827586,0.19827586206896552,13,115
2019-08-07,0.01904761904761905,0.0380952380952381,0.1619047619047619,0.29523809523809524,0.3142857142857143,9,105
2019-08-08,0.008771929824561403,0.06140350877192982,0.13157894736842105,0.22807017543859648,0.2719298245614035,12,114
2019-08-09,0.025423728813559324,0.025423728813559324,0.09322033898305085,0.2627118644067797,0.3050847457627119,8,118
2019-08-10,0.10752688172043011,0.10752688172043011,0.1935483870967742,0.27956989247311825,0.2903225806451613,6,87
2019-08-11,0.025,0.0375,0.075,0.0875,0.1625,10,78
2019-08-12,0.06140350877192982,0.07017543859649122,0.17543859649122806,0.30701754385964913,0.3684210526315789,9,112
2019-08-13,0.059322033898305086,0.06779661016949153,0.1864406779661017,0.2033898305084746,0.2542372881355932,13,114
2019-08-14,0.0546875,0.0703125,0.1953125,0.25,0.2734375,11,124
2019-08-15,0.0761904761904762,0.08571428571428572,0.17142857142857143,0.22857142857142856,0.26666666666666666,12,103
2019-08-16,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.1827956989247312,0.26881720430107525,13,93
2019-08-17,0.014084507042253521,0.028169014084507043,0.19718309859154928,0.28169014084507044,0.4225352112676056,7,71
2019-08-18,0.0,0.014492753623188406,0.043478260869565216,0.08695652173913043,0.11594202898550725,12,69
2019-08-19,0.033707865168539325,0.06741573033707865,0.1348314606741573,0.20224719101123595,0.30337078651685395,8,88
2019-08-20,0.01,0.01,0.08,0.13,0.19,11,100
2019-08-21,0.023529411764705882,0.023529411764705882,0.16470588235294117,0.32941176470588235,0.3411764705882353,12,84
2019-08-22,0.024193548387096774,0.03225806451612903,0.11290322580645161,0.1774193548387097,0.25,12,124
2019-08-23,0.022900763358778626,0.030534351145038167,0.1297709923664122,0.20610687022900764,0.2366412213740458,10,131
2019-08-24,0.034782608695652174,0.06956521739130435,0.1391304347826087,0.19130434782608696,0.22608695652173913,10,114
2019-08-25,0.020618556701030927,0.041237113402061855,0.13402061855670103,0.17525773195876287,0.25773195876288657,8,97
2019-08-26,0.08,0.104,0.16,0.24,0.288,14,122
2019-08-27,0.0379746835443038,0.05063291139240506,0.11392405063291139,0.21518987341772153,0.2911392405063291,11,79
2019-08-28,0.031578947368421054,0.05263157894736842,0.11578947368421053,0.21052631578947367,0.2631578947368421,8,95
2019-08-29,0.031914893617021274,0.031914893617021274,0.13829787234042554,0.22340425531914893,0.2553191489361702,12,94
2019-08-30,0.02127659574468085,0.0425531914893617,0.1595744680851064,0.24468085106382978,0.2872340425531915,12,94
2019-08-31,0.04225352112676056,0.056338028169014086,0.1056338028169014,0.16901408450704225,0.24647887323943662,11,141
2019-09-01,0.014814814814814815,0.022222222222222223,0.17037037037037037,0.2518518518518518,0.2740740740740741,14,135
2019-09-02,0.04145077720207254,0.06217616580310881,0.17616580310880828,0.41968911917098445,0.49740932642487046,15,191
2019-09-03,0.022222222222222223,0.03333333333333333,0.1111111111111111,0.1388888888888889,0.15,15,180
2019-09-04,0.012422360248447204,0.024844720496894408,0.11801242236024845,0.14906832298136646,0.17391304347826086,13,160
2019-09-05,0.06422018348623854,0.07339449541284404,0.21100917431192662,0.24770642201834864,0.29357798165137616,12,108
2019-09-06,0.010309278350515464,0.05154639175257732,0.10309278350515463,0.17525773195876287,0.20618556701030927,10,97
2019-09-07,0.030927835051546393,0.041237113402061855,0.16494845360824742,0.21649484536082475,0.29896907216494845,11,96
2019-09-08,0.011627906976744186,0.023255813953488372,0.12790697674418605,0.20930232558139536,0.2441860465116279,9,86
2019-09-09,0.02,0.04,0.2,0.3,0.3,10,50
2019-09-10,0.022727272727272728,0.045454545454545456,0.11363636363636363,0.18181818181818182,0.22727272727272727,14,87
2019-09-11,0.0,0.0,0.1625,0.2375,0.3,6,80
2019-09-12,0.05333333333333334,0.13333333333333333,0.22666666666666666,0.29333333333333333,0.30666666666666664,12,73
2019-09-13,0.046875,0.0625,0.140625,0.171875,0.25,8,63
2019-09-14,0.03225806451612903,0.06451612903225806,0.12903225806451613,0.15053763440860216,0.1935483870967742,11,93
2019-09-15,0.007246376811594203,0.021739130434782608,0.14492753623188406,0.3188405797101449,0.3333333333333333,12,137
2019-09-16,0.0425531914893617,0.0425531914893617,0.10638297872340426,0.13829787234042554,0.1702127659574468,12,94
2019-09-17,0.0136986301369863,0.0136986301369863,0.1643835616438356,0.2328767123287671,0.2602739726027397,13,73
2019-09-18,0.04424778761061947,0.04424778761061947,0.09734513274336283,0.1415929203539823,0.168141592920354,10,111
2019-09-19,0.028985507246376812,0.043478260869565216,0.21739130434782608,0.3188405797101449,0.3333333333333333,10,69
2019-09-20,0.10666666666666667,0.10666666666666667,0.21333333333333335,0.28,0.29333333333333333,9,73
2019-09-21,0.05714285714285714,0.08,0.14285714285714285,0.14857142857142858,0.16,6,174
2019-09-22,0.05405405405405406,0.08108108108108109,0.17567567567567569,0.21621621621621623,0.24324324324324326,9,73
2019-09-23,0.011111111111111112,0.05555555555555555,0.13333333333333333,0.23333333333333334,0.3,8,90
2019-09-24,0.048,0.08,0.216,0.232,0.256,14,124
2019-09-25,0.006493506493506494,0.032467532467532464,0.14935064935064934,0.16883116883116883,0.21428571428571427,13,153
2019-09-26,0.03389830508474576,0.05084745762711865,0.1864406779661017,0.2542372881355932,0.2542372881355932,12,118
2019-09-27,0.010869565217391304,0.010869565217391304,0.16304347826086957,0.21739130434782608,0.25,11,92
2019-09-28,0.009433962264150943,0.02830188679245283,0.10377358490566038,0.16037735849056603,0.18867924528301888,13,106
2019-09-29,0.024691358024691357,0.037037037037037035,0.1728395061728395,0.24691358024691357,0.2839506172839506,9,80
2019-09-30,0.023809523809523808,0.11904761904761904,0.2619047619047619,0.30952380952380953,0.3333333333333333,10,84
2019-10-01,0.057971014492753624,0.07246376811594203,0.13043478260869565,0.3188405797101449,0.3188405797101449,11,69
2019-10-02,0.03333333333333333,0.03333333333333333,0.12222222222222222,0.16666666666666666,0.2222222222222222,10,90
2019-10-03,0.0,0.0,0.06870229007633588,0.09923664122137404,0.11450381679389313,10,131
2019-10-04,0.014084507042253521,0.014084507042253521,0.08450704225352113,0.1267605633802817,0.15492957746478872,11,71
2019-10-05,0.02197802197802198,0.03296703296703297,0.13186813186813187,0.16483516483516483,0.1978021978021978,10,91
2019-10-06,0.016129032258064516,0.04838709677419355,0.13709677419354838,0.1532258064516129,0.1693548387096774,12,124
2019-10-07,0.012121212121212121,0.01818181818181818,0.13333333333333333,0.15757575757575756,0.16363636363636364,12,165
2019-10-08,0.03225806451612903,0.05161290322580645,0.12258064516129032,0.16774193548387098,0.2,15,151
2019-10-09,0.016,0.016,0.112,0.128,0.16,11,124
2019-10-10,0.01818181818181818,0.03636363636363636,0.1,0.11818181818181818,0.16363636363636364,10,110
2019-10-11,0.0070921985815602835,0.014184397163120567,0.09219858156028368,0.1276595744680851,0.15602836879432624,11,140
