day,N,N1,N2,M,M[-1],N1/M[-1],N2/M[-1],N1/N,N2/N
2019-11-13,160,128.0,32.0,32828.0,32700.0,0.0039143730886850156,0.0009785932721712539,0.8,0.2
2019-11-14,165,124.0,41.0,32952.0,32828.0,0.003777263311806994,0.0012489338369684416,0.7515151515151515,0.24848484848484848
2019-11-15,92,69.0,23.0,33021.0,32952.0,0.002093954843408594,0.0006979849478028647,0.75,0.25
2019-11-16,113,89.0,24.0,33110.0,33021.0,0.002695254534992883,0.0007268102116834742,0.7876106194690266,0.21238938053097345
2019-11-17,143,120.0,23.0,33230.0,33110.0,0.003624282694050136,0.000694654183026276,0.8391608391608392,0.16083916083916083
2019-11-18,108,84.0,24.0,33314.0,33230.0,0.002527836292506771,0.0007222389407162202,0.7777777777777778,0.2222222222222222
2019-11-19,151,123.0,28.0,33437.0,33314.0,0.003692141442036381,0.0008404874827399892,0.8145695364238411,0.18543046357615894
2019-11-20,146,127.0,19.0,33564.0,33437.0,0.0037981876364506385,0.0005682327960044262,0.8698630136986302,0.13013698630136986
2019-11-21,156,113.0,43.0,33677.0,33564.0,0.00336670241925873,0.0012811345489214634,0.7243589743589743,0.27564102564102566
2019-11-22,509,461.0,48.0,34138.0,33677.0,0.013688867773257713,0.0014253051043739051,0.9056974459724951,0.09430255402750491
2019-11-23,530,502.0,28.0,34640.0,34138.0,0.014705020797937783,0.0008202003632315894,0.9471698113207547,0.052830188679245285
2019-11-24,529,506.0,23.0,35146.0,34640.0,0.014607390300230947,0.0006639722863741339,0.9565217391304348,0.043478260869565216
2019-11-25,260,232.0,28.0,35378.0,35146.0,0.006601035679735958,0.0007966767199681329,0.8923076923076924,0.1076923076923077
2019-11-26,283,264.0,19.0,35642.0,35378.0,0.0074622646842670585,0.0005370569280343716,0.9328621908127208,0.06713780918727916
2019-11-27,463,438.0,25.0,36080.0,35642.0,0.012288872678300882,0.000701419673419,0.9460043196544277,0.05399568034557235
2019-11-28,396,378.0,18.0,36458.0,36080.0,0.010476718403547672,0.0004988913525498891,0.9545454545454546,0.045454545454545456
2019-11-29,454,437.0,17.0,36895.0,36458.0,0.011986395304185639,0.0004662899775083658,0.9625550660792952,0.037444933920704845
2019-11-30,466,450.0,16.0,37345.0,36895.0,0.012196774630708769,0.0004336630979807562,0.9656652360515021,0.034334763948497854
2019-12-01,500,472.0,28.0,37817.0,37345.0,0.012638907484268309,0.0007497656982193065,0.944,0.056
2019-12-02,407,375.0,32.0,38192.0,37817.0,0.00991617526509242,0.0008461802892878864,0.9213759213759214,0.07862407862407862
2019-12-03,342,309.0,33.0,38501.0,38192.0,0.008090699622957687,0.0008640552995391706,0.9035087719298246,0.09649122807017543
2019-12-04,305,281.0,24.0,38782.0,38501.0,0.00729851172696813,0.0006233604321965663,0.921311475409836,0.07868852459016394
2019-12-05,414,383.0,31.0,39165.0,38782.0,0.00987571553813625,0.0007993398999535867,0.9251207729468599,0.0748792270531401
2019-12-06,288,276.0,12.0,39441.0,39165.0,0.007047108387590961,0.00030639601685178094,0.9583333333333334,0.041666666666666664
2019-12-07,310,300.0,10.0,39741.0,39441.0,0.007606298014756218,0.0002535432671585406,0.967741935483871,0.03225806451612903
2019-12-08,316,300.0,16.0,40041.0,39741.0,0.007548878991469767,0.0004026068795450542,0.9493670886075949,0.05063291139240506
2019-12-09,391,342.0,49.0,40383.0,40041.0,0.008541245223645763,0.0012237456606977847,0.8746803069053708,0.12531969309462915
2019-12-10,450,409.0,41.0,40792.0,40383.0,0.01012802416858579,0.0010152787063863508,0.9088888888888889,0.09111111111111111
2019-12-11,403,369.0,34.0,41161.0,40792.0,0.009045891351245342,0.0008334967640713865,0.9156327543424317,0.08436724565756824
2019-12-12,323,291.0,32.0,41452.0,41161.0,0.007069799081654965,0.0007774349505599961,0.9009287925696594,0.09907120743034056
2019-12-13,555,523.0,32.0,41975.0,41452.0,0.012617002798417447,0.0007719772266718132,0.9423423423423424,0.05765765765765766
2019-12-14,482,437.0,45.0,42412.0,41975.0,0.010410958904109589,0.001072066706372841,0.9066390041493776,0.09336099585062241
2019-12-15,432,388.0,44.0,42800.0,42412.0,0.009148354239366217,0.0010374422333301896,0.8981481481481481,0.10185185185185185
2019-12-16,384,344.0,40.0,43144.0,42800.0,0.008037383177570093,0.0009345794392523365,0.8958333333333334,0.10416666666666667
2019-12-17,407,335.0,72.0,43479.0,43144.0,0.00776469497496755,0.0016688299647691451,0.8230958230958231,0.1769041769041769
2019-12-18,368,317.0,51.0,43796.0,43479.0,0.007290876055107063,0.0011729800593389913,0.8614130434782609,0.13858695652173914
2019-12-19,272,237.0,35.0,44033.0,43796.0,0.005411453100739793,0.0007991597406155814,0.8713235294117647,0.12867647058823528
2019-12-20,267,227.0,40.0,44260.0,44033.0,0.005155224490722867,0.000908409601889492,0.850187265917603,0.149812734082397
2019-12-21,381,352.0,29.0,44612.0,44260.0,0.007953004970628107,0.0006552191595119747,0.9238845144356955,0.07611548556430446
2019-12-22,402,361.0,41.0,44973.0,44612.0,0.008091993185689948,0.0009190352371559222,0.8980099502487562,0.10199004975124377
2019-12-23,365,332.0,33.0,45305.0,44973.0,0.007382207102039001,0.0007337735974918284,0.9095890410958904,0.09041095890410959
2019-12-24,307,279.0,28.0,45584.0,45305.0,0.006158260677629401,0.0006180333296545636,0.9087947882736156,0.09120521172638436
2019-12-25,319,288.0,31.0,45872.0,45584.0,0.006318006318006318,0.00068006318006318,0.9028213166144201,0.09717868338557993
2019-12-26,319,288.0,31.0,46160.0,45872.0,0.006278339727938612,0.0006757935123822811,0.9028213166144201,0.09717868338557993
2019-12-27,236,213.0,23.0,46373.0,46160.0,0.004614384748700173,0.0004982668977469671,0.902542372881356,0.09745762711864407
2019-12-28,305,269.0,36.0,46642.0,46373.0,0.0058007892523666785,0.000776313803290708,0.8819672131147541,0.1180327868852459
2019-12-29,558,532.0,26.0,47174.0,46642.0,0.011406028900990524,0.000557437502679988,0.953405017921147,0.04659498207885305
2019-12-30,314,285.0,29.0,47459.0,47174.0,0.006041463518039598,0.0006147454106075381,0.9076433121019108,0.09235668789808917
2019-12-31,179,161.0,18.0,47620.0,47459.0,0.0033924018626604016,0.00037927474240923747,0.8994413407821229,0.1005586592178771
2020-01-01,294,262.0,32.0,47882.0,47620.0,0.005501889962200756,0.0006719865602687946,0.891156462585034,0.10884353741496598
2020-01-02,511,463.0,48.0,48345.0,47882.0,0.009669604444258803,0.0010024643916294223,0.9060665362035225,0.09393346379647749
2020-01-03,404,358.0,46.0,48703.0,48345.0,0.007405109111593753,0.0009514944668528286,0.8861386138613861,0.11386138613861387
2020-01-04,723,635.0,88.0,49338.0,48703.0,0.0130382111984888,0.0018068702133338809,0.8782849239280774,0.12171507607192254
2020-01-05,442,406.0,36.0,49744.0,49338.0,0.00822895131541611,0.0007296607077708865,0.918552036199095,0.08144796380090498
2020-01-06,396,329.0,67.0,50073.0,49744.0,0.006613862978449662,0.0013468961080733354,0.8308080808080808,0.1691919191919192
2020-01-07,516,433.0,83.0,50506.0,50073.0,0.008647374832744194,0.0016575799332973857,0.8391472868217055,0.16085271317829458
2020-01-08,397,352.0,45.0,50858.0,50506.0,0.006969468973983289,0.0008909832495149091,0.8866498740554156,0.11335012594458438
2020-01-09,441,392.0,49.0,51250.0,50858.0,0.007707735262888827,0.0009634669078611034,0.8888888888888888,0.1111111111111111
2020-01-10,555,513.0,42.0,51763.0,51250.0,0.010009756097560975,0.0008195121951219513,0.9243243243243243,0.07567567567567568
2020-01-11,466,420.0,46.0,52183.0,51763.0,0.008113903753646427,0.0008886656492088944,0.9012875536480687,0.09871244635193133
2020-01-12,300,262.0,38.0,52445.0,52183.0,0.005020792212023072,0.0007282065040338807,0.8733333333333333,0.12666666666666668
2020-01-13,515,457.0,58.0,52902.0,52445.0,0.008713890742682811,0.0011059204881304224,0.887378640776699,0.11262135922330097
2020-01-14,339,300.0,39.0,53202.0,52902.0,0.005670863105364636,0.0007372122036974027,0.8849557522123894,0.11504424778761062
2020-01-15,355,331.0,24.0,53533.0,53202.0,0.0062215706176459535,0.0004511108604939664,0.9323943661971831,0.0676056338028169
2020-01-16,305,256.0,49.0,53789.0,53533.0,0.0047820970242654064,0.0009153232585508005,0.839344262295082,0.16065573770491803
2020-01-17,281,233.0,48.0,54022.0,53789.0,0.0043317406904757475,0.0008923757645615274,0.8291814946619217,0.1708185053380783
2020-01-18,397,354.0,43.0,54376.0,54022.0,0.0065528858613157605,0.0007959720114027618,0.8916876574307305,0.10831234256926953
2020-01-19,351,320.0,31.0,54696.0,54376.0,0.005884949242312785,0.0005701044578490511,0.9116809116809117,0.08831908831908832
2020-01-20,362,329.0,33.0,55025.0,54696.0,0.006015065087026474,0.0006033347959631417,0.9088397790055248,0.09116022099447514
2020-01-21,355,310.0,45.0,55335.0,55025.0,0.005633802816901409,0.000817810086324398,0.8732394366197183,0.1267605633802817
2020-01-22,395,351.0,44.0,55686.0,55335.0,0.0063431824342640285,0.0007951567723863739,0.8886075949367088,0.11139240506329114
2020-01-23,387,348.0,39.0,56034.0,55686.0,0.006249326581187372,0.0007003555651330676,0.8992248062015504,0.10077519379844961
2020-01-24,301,278.0,23.0,56312.0,56034.0,0.004961273512510261,0.00041046507477602884,0.9235880398671097,0.07641196013289037
2020-01-25,387,354.0,33.0,56666.0,56312.0,0.006286404318795283,0.0005860207415826112,0.9147286821705426,0.08527131782945736
2020-01-26,302,275.0,27.0,56941.0,56666.0,0.004852998270567889,0.00047647619383757455,0.9105960264900662,0.08940397350993377
2020-01-27,259,234.0,25.0,57175.0,56941.0,0.004109516868337402,0.00043905094747194467,0.9034749034749034,0.09652509652509653
2020-01-28,290,261.0,29.0,57436.0,57175.0,0.004564932225623087,0.0005072146917358986,0.9,0.1
